algorithm,size,total_comparisons,sample_count
selection_sort,35,595,1
insertion_sort,35,296,1
merge_sort,35,139,1
quick_sort,35,159,1
bubble_sort,36,620,1
selection_sort,36,630,1
insertion_sort,36,359,1
merge_sort,36,146,1
quick_sort,36,161,1
bubble_sort,37,666,1
selection_sort,37,666,1
insertion_sort,37,406,1
merge_sort,37,143,1
quick_sort,37,171,1
bubble_sort,38,688,1
selection_sort,38,703,1
insertion_sort,38,404,1
merge_sort,38,152,1
quick_sort,38,199,1
bubble_sort,39,738,1
selection_sort,39,741,1
insertion_sort,39,424,1
merge_sort,39,159,1
quick_sort,39,199,1
bubble_sort,40,777,1
selection_sort,40,780,1
insertion_sort,40,408,1
merge_sort,40,163,1
quick_sort,40,188,1
bubble_sort,41,792,1
selection_sort,41,820,1
insertion_sort,41,479,1
merge_sort,41,172,1
quick_sort,41,169,1
bubble_sort,42,851,1
selection_sort,42,861,1
insertion_sort,42,539,1
merge_sort,42,175,1
quick_sort,42,197,1
bubble_sort,43,875,1
selection_sort,43,903,1
insertion_sort,43,556,1
merge_sort,43,185,1
quick_sort,43,209,1
bubble_sort,44,943,1
selection_sort,44,946,1
insertion_sort,44,552,1
merge_sort,44,187,1
quick_sort,44,212,1
bubble_sort,45,990,1
selection_sort,45,990,1
insertion_sort,45,619,1
merge_sort,45,193,1
quick_sort,45,266,1
bubble_sort,46,1035,1
selection_sort,46,1035,1
insertion_sort,46,633,1
merge_sort,46,204,1
quick_sort,46,288,1
bubble_sort,47,1066,1
selection_sort,47,1081,1
insertion_sort,47,661,1
merge_sort,47,206,1
quick_sort,47,253,1
bubble_sort,48,1073,1
selection_sort,48,1128,1
insertion_sort,48,538,1
merge_sort,48,207,1
quick_sort,48,224,1
bubble_sort,49,1110,1
selection_sort,49,1176,1
insertion_sort,49,660,1
merge_sort,49,217,1
quick_sort,49,240,1
bubble_sort,50,1170,1
selection_sort,50,1225,1
insertion_sort,50,685,1
merge_sort,50,223,1
quick_sort,50,258,1
bubble_sort,51,1272,1
selection_sort,51,1275,1
insertion_sort,51,675,1
merge_sort,51,226,1
quick_sort,51,259,1
bubble_sort,52,1298,1
selection_sort,52,1326,1
insertion_sort,52,752,1
merge_sort,52,233,1
quick_sort,52,241,1
bubble_sort,53,1357,1
selection_sort,53,1378,1
insertion_sort,53,835,1
merge_sort,53,236,1
quick_sort,53,257,1
bubble_sort,54,1431,1
selection_sort,54,1431,1
insertion_sort,54,885,1
merge_sort,54,242,1
quick_sort,54,317,1
bubble_sort,55,1430,1
selection_sort,55,1485,1
insertion_sort,55,719,1
merge_sort,55,246,1
quick_sort,55,288,1
bubble_sort,56,1540,1
selection_sort,56,1540,1
insertion_sort,56,935,1
merge_sort,56,256,1
quick_sort,56,350,1
bubble_sort,57,1586,1
selection_sort,57,1596,1
insertion_sort,57,937,1
merge_sort,57,262,1
quick_sort,57,354,1
bubble_sort,58,1617,1
selection_sort,58,1653,1
insertion_sort,58,980,1
merge_sort,58,271,1
quick_sort,58,316,1
bubble_sort,59,1683,1
selection_sort,59,1711,1
insertion_sort,59,891,1
merge_sort,59,277,1
quick_sort,59,302,1
bubble_sort,60,1715,1
selection_sort,60,1770,1
insertion_sort,60,1007,1
merge_sort,60,280,1
quick_sort,60,334,1
bubble_sort,61,1802,1
selection_sort,61,1830,1
insertion_sort,61,917,1
merge_sort,61,284,1
quick_sort,61,415,1
bubble_sort,62,1738,1
selection_sort,62,1891,1
insertion_sort,62,944,1
merge_sort,62,294,1
quick_sort,62,330,1
bubble_sort,63,1947,1
selection_sort,63,1953,1
insertion_sort,63,961,1
merge_sort,63,300,1
quick_sort,63,329,1
bubble_sort,64,1961,1
selection_sort,64,2016,1
insertion_sort,64,1152,1
merge_sort,64,303,1
quick_sort,64,415,1
bubble_sort,65,1989,1
selection_sort,65,2080,1
insertion_sort,65,1085,1
merge_sort,65,311,1
quick_sort,65,349,1
bubble_sort,66,2117,1
selection_sort,66,2145,1
insertion_sort,66,1100,1
merge_sort,66,314,1
quick_sort,66,338,1
bubble_sort,67,2201,1
selection_sort,67,2211,1
insertion_sort,67,1157,1
merge_sort,67,324,1
quick_sort,67,424,1
bubble_sort,68,2173,1
selection_sort,68,2278,1
insertion_sort,68,1108,1
merge_sort,68,338,1
quick_sort,68,349,1
bubble_sort,69,2325,1
selection_sort,69,2346,1
insertion_sort,69,1098,1
merge_sort,69,339,1
quick_sort,69,361,1
bubble_sort,70,2370,1
selection_sort,70,2415,1
insertion_sort,70,1148,1
merge_sort,70,335,1
quick_sort,70,336,1
bubble_sort,71,2457,1
selection_sort,71,2485,1
insertion_sort,71,1305,1
merge_sort,71,352,1
quick_sort,71,475,1
bubble_sort,72,2478,1
selection_sort,72,2556,1
insertion_sort,72,1413,1
merge_sort,72,354,1
quick_sort,72,371,1
bubble_sort,73,2562,1
selection_sort,73,2628,1
insertion_sort,73,1166,1
merge_sort,73,369,1
quick_sort,73,413,1
bubble_sort,74,2581,1
selection_sort,74,2701,1
insertion_sort,74,1566,1
merge_sort,74,369,1
quick_sort,74,384,1
bubble_sort,75,2754,1
selection_sort,75,2775,1
insertion_sort,75,1364,1
merge_sort,75,375,1
quick_sort,75,506,1
bubble_sort,76,2822,1
selection_sort,76,2850,1
insertion_sort,76,1375,1
merge_sort,76,386,1
quick_sort,76,417,1
bubble_sort,77,2898,1
selection_sort,77,2926,1
insertion_sort,77,1627,1
merge_sort,77,390,1
quick_sort,77,446,1
bubble_sort,78,2982,1
selection_sort,78,3003,1
insertion_sort,78,1646,1
merge_sort,78,400,1
